City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,27.03,74,100,7.72,CK,1669254841
1,alegrete,-29.7831,-55.7919,16.45,54,0,2.9,BR,1669254842
2,atuona,-9.8,-139.0333,25.45,77,12,6.2,PF,1669254702
3,fountain hills,33.6117,-111.7174,17.38,31,11,1.34,US,1669254843
4,busselton,-33.65,115.3333,18.79,55,100,4.33,AU,1669254843
5,whitehorse,60.7161,-135.0538,-1.22,97,100,1.03,CA,1669254570
6,new norfolk,-42.7826,147.0587,17.18,57,100,2.24,AU,1669254844
7,rikitea,-23.1203,-134.9692,21.74,87,99,3.48,PF,1669254845
8,albany,42.6001,-73.9662,3.82,74,10,1.62,US,1669254796
9,port macquarie,-31.4333,152.9167,25.5,51,2,5.34,AU,1669254846
10,sept-iles,50.2001,-66.3821,-7.0,61,0,8.23,CA,1669254847
11,zhigansk,66.7697,123.3711,-40.3,100,62,1.06,RU,1669254847
12,mataura,-46.1927,168.8643,14.15,39,36,5.54,NZ,1669254848
13,hermanus,-34.4187,19.2345,15.45,80,100,6.91,ZA,1669254605
14,den helder,52.9599,4.7593,9.99,91,75,9.26,NL,1669254772
15,cape town,-33.9258,18.4232,15.49,90,75,4.63,ZA,1669254791
16,san cristobal,7.7669,-72.225,21.1,98,89,0.69,VE,1669254567
17,xiongzhou,25.1167,114.3,17.4,88,99,1.2,CN,1669254851
18,georgetown,5.4112,100.3354,27.75,94,40,2.24,MY,1669254851
19,hamilton,39.1834,-84.5333,8.73,60,89,0.89,US,1669254852
20,bredasdorp,-34.5322,20.0403,16.16,78,100,4.75,ZA,1669254852
21,skibbereen,51.55,-9.2667,11.73,84,97,9.47,IE,1669254854
22,bluff,-46.6,168.3333,14.33,67,29,9.81,NZ,1669254854
23,verkhovye,52.8119,37.2425,-4.18,97,16,2.3,RU,1669254855
24,bubaque,11.2833,-15.8333,27.88,64,97,2.55,GW,1669254856
25,vaini,-21.2,-175.2,29.09,74,20,2.57,TO,1669254856
26,punta arenas,-53.15,-70.9167,4.06,87,40,8.75,CL,1669254557
27,beloha,-25.1667,45.05,21.94,80,1,3.87,MG,1669254857
28,carnarvon,-24.8667,113.6333,23.98,54,0,4.11,AU,1669254859
29,tarakan,3.3,117.6333,26.72,89,20,2.06,ID,1669254860
30,longyearbyen,78.2186,15.6401,-2.89,91,100,2.92,SJ,1669254860
31,biskupiec,53.8647,20.9569,-3.1,88,100,2.15,PL,1669254861
32,daru,-9.0763,143.2092,30.48,63,100,1.68,PG,1669254862
33,lakhnadon,22.6,79.6,14.46,54,22,1.51,IN,1669254862
34,ushuaia,-54.8,-68.3,4.81,70,40,6.17,AR,1669254692
35,butaritari,3.0707,172.7902,27.13,70,12,1.83,KI,1669254863
36,sao joao da barra,-21.6403,-41.0511,23.61,88,100,6.56,BR,1669254864
37,saint anthony,45.0205,-93.218,3.96,80,100,2.57,US,1669254865
38,saskylakh,71.9167,114.0833,-37.66,100,96,1.05,RU,1669254865
39,nikolskoye,59.7035,30.7861,-5.05,90,35,2.17,RU,1669254866
40,port pirie,-33.1833,138.0167,24.22,33,100,3.44,AU,1669254867
41,vila velha,-20.3297,-40.2925,23.97,92,40,3.09,BR,1669254867
42,namatanai,-3.6667,152.4333,30.21,58,69,2.17,PG,1669254868
43,kloulklubed,7.0419,134.2556,27.28,74,24,4.45,PW,1669254869
44,ramhormoz,31.28,49.6035,19.46,58,67,0.73,IR,1669254870
45,cangucu,-31.395,-52.6756,12.56,90,0,1.48,BR,1669254870
46,verkhnyaya inta,65.9811,60.3094,-17.59,97,88,3.29,RU,1669254871
47,saint-philippe,-21.3585,55.7679,22.77,82,38,4.11,RE,1669254871
48,qasigiannguit,68.8193,-51.1922,-14.77,90,49,2.22,GL,1669254872
49,lukovetskiy,64.2956,41.9211,-12.03,96,8,1.37,RU,1669254872
50,vardo,70.3705,31.1107,-6.01,86,44,9.77,NO,1669254873
51,magnolia,33.2671,-93.2393,11.6,66,100,2.34,US,1669254720
52,milkovo,54.7167,158.6167,-2.72,72,33,4.15,RU,1669254874
53,geraldton,-28.7667,114.6,23.23,53,40,3.6,AU,1669254875
54,anadyr,64.75,177.4833,-4.72,92,100,21.0,RU,1669254876
55,lebu,-37.6167,-73.65,13.96,92,29,6.93,CL,1669254876
56,hobart,-42.8794,147.3294,17.37,62,75,6.17,AU,1669254766
57,mar del plata,-38.0023,-57.5575,18.01,73,0,1.54,AR,1669254825
58,port blair,11.6667,92.75,25.02,94,40,0.0,IN,1669254878
59,nouadhibou,20.931,-17.0347,18.99,82,0,5.66,MR,1669254879
60,ribeira grande,38.5167,-28.7,15.43,77,64,1.34,PT,1669254879
61,upernavik,72.7868,-56.1549,-5.51,87,100,2.37,GL,1669254880
62,fare,-16.7,-151.0167,26.22,76,100,3.12,PF,1669254881
63,hashtgerd,35.9642,50.6858,6.91,32,0,0.92,IR,1669254881
64,nishihara,26.1842,127.7558,22.6,92,100,5.66,JP,1669254882
65,camas,37.402,-6.0331,17.28,89,50,1.79,ES,1669254883
66,tuktoyaktuk,69.4541,-133.0374,-12.0,92,100,4.12,CA,1669254883
67,bethel,41.3712,-73.414,6.08,69,0,0.0,US,1669254664
68,hambantota,6.1241,81.1185,22.19,100,20,0.51,LK,1669254884
69,faanui,-16.4833,-151.75,26.45,74,99,2.44,PF,1669254885
70,la paz,-16.5,-68.15,9.99,66,75,4.12,BO,1669254885
71,dikson,73.5069,80.5464,-29.74,98,93,5.97,RU,1669254886
72,pisco,-13.7,-76.2167,19.03,88,0,5.66,PE,1669254887
73,yellowknife,62.456,-114.3525,-6.71,86,100,2.57,CA,1669254768
74,coolum beach,-26.5333,153.1,26.71,48,100,3.88,AU,1669254638
75,tecoanapa,16.5167,-98.75,25.85,78,94,2.23,MX,1669254888
76,souillac,-20.5167,57.5167,24.21,83,40,3.09,MU,1669254889
77,labuhan,-6.8844,112.2051,28.42,73,100,2.67,ID,1669254889
78,rossland,49.0831,-117.8022,-2.43,44,94,0.36,CA,1669254890
79,hithadhoo,-0.6,73.0833,27.63,74,25,6.03,MV,1669254891
80,padang,-0.9492,100.3543,24.03,76,97,1.28,ID,1669254778
81,kulu,39.0951,33.0799,10.23,66,100,8.17,TR,1669254892
82,sokoni,-6.4333,39.55,26.47,79,64,4.34,TZ,1669254893
83,menongue,-14.6585,17.691,16.89,91,100,1.63,AO,1669254606
84,alpena,45.0617,-83.4327,2.14,99,1,2.76,US,1669254894
85,timizart,36.8,4.2667,16.12,72,71,2.81,DZ,1669254894
86,isangel,-19.55,169.2667,31.06,74,34,3.6,VU,1669254768
87,sindor,62.8629,51.8905,-20.26,99,65,1.57,RU,1669254895
88,tasiilaq,65.6145,-37.6368,-6.2,67,80,3.96,GL,1669254896
89,nadadores,27.05,-101.6,15.13,76,40,2.02,MX,1669254897
90,gushikawa,26.3544,127.8686,22.57,96,75,4.12,JP,1669254897
91,kaitangata,-46.2817,169.8464,14.55,45,87,6.02,NZ,1669254898
92,klaksvik,62.2266,-6.589,8.51,90,100,16.07,FO,1669254898
93,puerto ayora,-0.7393,-90.3518,20.31,97,58,1.34,EC,1669254651
94,blackwater,-23.5833,148.8833,29.2,19,95,3.62,AU,1669254899
95,pevek,69.7008,170.3133,-31.9,96,100,0.45,RU,1669254900
96,saint-francois,46.4154,3.9054,6.69,81,100,2.57,FR,1669254900
97,qaanaaq,77.484,-69.3632,-11.59,89,87,1.03,GL,1669254901
98,east london,-33.0153,27.9116,19.72,78,77,8.32,ZA,1669254808
99,caravelas,-17.7125,-39.2481,23.04,90,100,2.36,BR,1669254903
100,kimbe,-5.5502,150.1429,32.5,53,5,3.35,PG,1669254903
101,cidreira,-30.1811,-50.2056,18.57,76,7,1.97,BR,1669254904
102,coihueco,-36.6167,-71.8333,22.41,53,0,5.66,CL,1669254905
103,talaya,61.3833,152.75,-25.47,93,100,2.45,RU,1669254905
104,maumere,-8.6199,122.2111,29.02,63,98,1.02,ID,1669254906
105,balaipungut,1.05,101.2833,28.09,68,76,1.49,ID,1669254907
106,bangolo,7.0069,-7.475,22.14,75,88,0.56,CI,1669254907
107,cherskiy,68.75,161.3,-34.35,98,99,1.24,RU,1669254908
108,kavieng,-2.5744,150.7967,29.88,59,90,4.0,PG,1669254909
109,sao filipe,14.8961,-24.4956,25.11,65,100,4.51,CV,1669254909
110,hasaki,35.7333,140.8333,19.05,58,2,10.67,JP,1669254910
111,mount gambier,-37.8333,140.7667,17.03,51,60,3.04,AU,1669254879
112,grand gaube,-20.0064,57.6608,24.22,77,40,1.34,MU,1669254911
